sample,cosine_similarity,reconstruction_error
TCGA-17-Z037-01A-01W-0746-08,0.9717310344118191,29.754793729496672
TCGA-17-Z042-01A-01W-0746-08,0.974673674553541,76.08875622451873
TCGA-17-Z043-01A-01W-0746-08,0.9364169682729678,27.624676124036444
TCGA-17-Z044-01A-01W-0746-08,0.914598881035725,18.851683404387863
TCGA-17-Z045-01A-01W-0746-08,0.9797533010610595,97.40670277280434
TCGA-17-Z049-01A-01W-0746-08,0.9754688779116248,78.3401048143651
TCGA-17-Z050-01A-01W-0747-08,0.9328786303475,25.66012879079579
TCGA-17-Z051-01A-01W-0747-08,0.8735187375372133,17.635878244436714
TCGA-17-Z052-01A-01W-0747-08,0.8558237994035984,17.77222288951404
TCGA-17-Z053-01A-01W-0747-08,0.9498537557046643,35.21427633102299
TCGA-17-Z055-01A-01W-0747-08,0.9744150111875718,91.54326020549658
TCGA-17-Z056-01A-01W-0747-08,0.9757743101490188,68.0658392937803
TCGA-17-Z057-01A-01W-0747-08,0.9870512960222481,78.41281358801943
TCGA-17-Z059-01A-01W-0747-08,0.931620609778277,26.06830854451578
TCGA-17-Z061-01A-01W-0747-08,0.8945046885812773,24.0746987216593
TCGA-17-Z062-01A-01W-0747-08,0.9742702048459261,70.22744106439039
TCGA-19-0957-02A-11D-2280-08,0.9619669729614456,25.530289205713576
TCGA-19-1390-01A-01D-1495-08,0.9287931736998657,22.615196976461867
TCGA-19-1390-01A-01W-0922-08,0.944993761572472,25.636376160390824
TCGA-19-1787-01B-01D-1495-08,0.979975912176907,267.18772228653074
TCGA-19-1787-01B-01W-0922-08,0.9852569413703157,238.20016693256179
TCGA-19-2620-01A-01W-0922-08,0.9525184753636827,23.436075630076353
TCGA-19-5956-01A-11D-1696-08,0.9952700500609989,2166.78334535853
TCGA-32-2616-01A-01D-1495-08,0.9844722305145615,546.2652391518649
TCGA-32-2616-01A-01W-0922-08,0.9967611106285527,295.84774545292123
TCGA-35-4122-01A-01D-1105-08,0.9678227095136434,44.4465653334141
TCGA-35-4123-01A-01D-1105-08,0.9614623996248716,47.036369402514765
TCGA-35-5375-01A-01D-1625-08,0.9510573467303404,58.77555227900959
TCGA-38-4625-01A-01D-1553-08,0.9591583315901921,104.51517395072878
TCGA-38-4626-01A-01D-1553-08,0.9432279405453303,34.40670731185806
TCGA-38-4628-01A-01D-1265-08,0.927469905594109,18.757235876202664
TCGA-38-4629-01A-02D-1265-08,0.9500384894919383,39.40997960548756
TCGA-38-4630-01A-01D-1265-08,0.9758487157443564,25.648511551741226
TCGA-38-4631-01A-01D-1753-08,0.9697501243907359,110.39264074419486
TCGA-38-4632-01A-01D-1753-08,0.9627789471858064,73.95326146704696
TCGA-3C-AALI-01A-11D-A41F-09,0.9859807525619746,171.70157870055561
TCGA-44-2655-01A-01D-1553-08,0.9523418894352074,31.890297182910693
TCGA-44-2655-01A-01W-0928-08,0.9476269739261332,32.358977657666806
TCGA-44-2656-01A-02D-0969-08,0.9727805089634738,144.12659447605162
TCGA-44-2656-01A-02D-A271-08,0.9734776349805819,134.06303228559685
TCGA-44-2656-01A-02W-0928-08,0.9743589032301947,129.63439512280402
TCGA-44-2656-01A-12D-A27T-08,0.9700030204777871,138.1001287371586
TCGA-44-2656-01A-41D-A27T-08,0.9770765815125679,142.13912157594083
TCGA-44-2656-01B-06D-A271-08,0.9819018247004876,119.40361910098224
TCGA-44-2657-01A-01D-1105-08,0.9771493852065988,62.12249675392733
TCGA-44-2662-01A-01D-0969-08,0.9795360851799771,57.04529042046216
TCGA-44-2662-01A-01D-A271-08,0.9740641472801828,51.49411404015131
TCGA-44-2662-01A-01W-0928-08,0.9794300478515775,51.04562574303809
TCGA-44-2662-01B-02D-A271-08,0.9711847224091034,47.691691031157205
TCGA-44-2668-01A-01D-0969-08,0.9611910535897876,61.52716273559444
TCGA-44-2668-01A-01D-A271-08,0.9459681165396439,57.814968505164565
TCGA-44-2668-01A-01W-0928-08,0.9608211458936031,61.91136877696451
TCGA-44-2668-01B-02D-A271-08,0.9213555219736235,37.001131227257
TCGA-44-3396-01A-01D-1553-08,0.9227866508507071,36.34186719457183
TCGA-44-3398-01A-01D-1105-08,0.8931085394851521,29.71245771758883
TCGA-44-3917-01A-01D-A271-08,0.9485638834696123,36.12767555744829
TCGA-44-3917-01B-02D-A271-08,0.9482207896666915,36.431603874690225
TCGA-44-3918-01A-01D-1105-08,0.9690864810874383,152.00907734271235
TCGA-44-3918-01A-01D-A271-08,0.9694459684936154,159.52701539844242
TCGA-44-3918-01B-02D-A271-08,0.9756891927946827,152.84047139796132
TCGA-44-4112-01A-01D-1105-08,0.9688836643292523,65.44614084088143
TCGA-44-4112-01A-01D-1458-08,0.9674284905588931,69.54036827929849
TCGA-44-4112-01A-01D-A271-08,0.9660979391196705,68.19170640866268
TCGA-44-4112-01A-22D-A27T-08,0.9721966096834983,71.70767601494929
TCGA-44-4112-01A-31D-A27T-08,0.9721026206976563,77.46804081162438
TCGA-44-4112-01B-06D-A271-08,0.968733351133965,52.77233375018039
TCGA-44-5643-01A-01D-1625-08,0.8805939970388144,24.136680435677473
