sample,cosine_similarity,n_snv,cancer_type
TCGA-44-6778-01A-11D-1855-08,0.9712323707410663,2.597695185925512,Lung Adenocarcinoma
TCGA-44-7659-01A-11D-2063-08,0.8439885786997099,2.155336037465062,Lung Adenocarcinoma
TCGA-44-7660-01A-11D-2063-08,0.9520639868758267,2.5440680443502757,Lung Adenocarcinoma
TCGA-44-7661-01A-11D-2063-08,0.9233012278409156,2.3820170425748683,Lung Adenocarcinoma
TCGA-44-7662-01A-11D-2063-08,0.9813331225228424,2.7528164311882715,Lung Adenocarcinoma
TCGA-44-7667-01A-31D-2063-08,0.9671721342007401,2.6748611407378116,Lung Adenocarcinoma
TCGA-44-7669-01A-21D-2063-08,0.9644498798761624,2.6711728427150834,Lung Adenocarcinoma
TCGA-44-7670-01A-11D-2063-08,0.9755907020551347,3.0068937079479006,Lung Adenocarcinoma
TCGA-44-7671-01A-11D-2063-08,0.9223931565401683,2.3710678622717363,Lung Adenocarcinoma
TCGA-44-7672-01A-11D-2063-08,0.9034097482522261,2.1789769472931693,Lung Adenocarcinoma
TCGA-44-8117-01A-11D-2238-08,0.9829272995343419,2.870403905279027,Lung Adenocarcinoma
TCGA-44-8119-01A-11D-2238-08,0.9698717120464899,2.8095597146352675,Lung Adenocarcinoma
TCGA-44-8120-01A-11D-2238-08,0.9708046411253599,2.7895807121644256,Lung Adenocarcinoma
TCGA-44-A479-01A-31D-A24D-08,0.9638113146507014,2.428134794028789,Lung Adenocarcinoma
TCGA-44-A47A-01A-21D-A24D-08,0.9605021922873359,2.3010299956639813,Lung Adenocarcinoma
TCGA-44-A4SS-01A-11D-A24P-08,0.9614511030233581,2.6711728427150834,Lung Adenocarcinoma
TCGA-44-A4SU-01A-11D-A24P-08,0.9174205042032261,2.1072099696478683,Lung Adenocarcinoma
TCGA-49-4486-01A-01D-1265-08,0.9633303721775653,2.164352855784437,Lung Adenocarcinoma
TCGA-49-4487-01A-21D-1855-08,0.9593030837469974,2.530199698203082,Lung Adenocarcinoma
TCGA-49-4488-01A-01D-1753-08,0.9651122488475916,2.424881636631067,Lung Adenocarcinoma
TCGA-49-4494-01A-01D-1265-08,0.9120104979612074,2.2810333672477277,Lung Adenocarcinoma
TCGA-49-4505-01A-01D-1931-08,0.9432513734597314,2.3242824552976926,Lung Adenocarcinoma
TCGA-49-4506-01A-01D-1265-08,0.8636776608818887,2.037426497940624,Lung Adenocarcinoma
TCGA-49-4507-01A-01D-1265-08,0.9304072409701362,2.294466226161593,Lung Adenocarcinoma
TCGA-49-4514-01A-21D-1855-08,0.9744378223657758,2.4955443375464483,Lung Adenocarcinoma
TCGA-49-6742-01A-11D-1855-08,0.9639803842743129,2.444044795918076,Lung Adenocarcinoma
TCGA-49-6743-01A-11D-1855-08,0.9770843843119066,2.8692317197309762,Lung Adenocarcinoma
TCGA-49-6744-01A-11D-1855-08,0.9374626349222377,2.292256071356476,Lung Adenocarcinoma
TCGA-49-6745-01A-11D-1855-08,0.9608027052386305,2.103803720955957,Lung Adenocarcinoma
TCGA-49-6761-01A-31D-1945-08,0.9642361355664786,2.247973266361807,Lung Adenocarcinoma
TCGA-49-6767-01A-11D-1855-08,0.9512353641357113,2.6570558528571038,Lung Adenocarcinoma
TCGA-49-AAR0-01A-21D-A397-08,0.8928870115998812,2.123851640967086,Lung Adenocarcinoma
TCGA-49-AAR2-01A-11D-A397-08,0.9787770196359573,2.60422605308447,Lung Adenocarcinoma
